VADEA_ID,VADEA_Breddegrad,VADEA_Lengdegrad,VADEA_Indeks
FJ_RSO_1,59.9367467,10.88037366,1160
FJ_RSO_10,59.6030795,10.794033600000001,1151
FJ_RSO_100,59.277389999999997,11.054600000000001,1275
FJ_RSO_1000,59.229749200000001,10.9213857,322
FJ_RSO_1001,60.3605011,11.2805798,321
FJ_RSO_1002,59.996028699999997,10.7526885,331
FJ_RSO_1004,59.907455900000002,10.592268900000001,345
FJ_RSO_1005,59.592936000000002,11.123986199999999,346
FJ_RSO_1006,59.760289999999998,11.45684,369
FJ_RSO_1007,59.252259500000001,10.896923299999999,368
FJ_RSO_1008,59.919768220000002,11.432070209999999,367
FJ_RSO_1009,58.973699099999997,11.499098200000001,366
FJ_RSO_101,60.267743799999998,11.088714700000001,1274
FJ_RSO_1010,59.582160000000002,11.229480000000001,365
FJ_RSO_1011,59.720970000000001,10.66506,364
FJ_RSO_1012,59.434780699999997,11.086219,363
FJ_RSO_1013,59.8185006,10.797965899999999,362
FJ_RSO_1014,59.83268236,10.6882082,361
FJ_RSO_1015,59.756349999999998,10.60779,360
FJ_RSO_1016,59.397767999999999,10.654677100000001,359
FJ_RSO_1017,59.223067499999999,10.946844,358
FJ_RSO_1018,60.0467996,11.3337275,357
FJ_RSO_1019,59.606716499999997,10.769580599999999,356
FJ_RSO_102,59.833500000000001,10.465999999999999,1273
FJ_RSO_1020,59.665222100000001,10.654258499999999,355
FJ_RSO_1021,60.103867000000001,11.4790358,354
FJ_RSO_1022,59.854619999999997,10.421950000000001,353
FJ_RSO_1023,59.888566699999998,10.506039299999999,352
FJ_RSO_1024,60.007393100000002,11.3065333,351
FJ_RSO_1025,59.62594,10.65517,350
FJ_RSO_1026,60.278416399999998,11.185147199999999,349
FJ_RSO_1027,59.539253100000003,11.0940303,348
FJ_RSO_1028,59.200302000000001,10.9336184,347
FJ_RSO_1029,59.365924700000001,10.6961142,214
FJ_RSO_103,60.115440200000002,11.5464951,1272
FJ_RSO_1030,58.187980000000003,8.0883400000000005,398
FJ_RSO_1031,59.192552300000003,10.865270000000001,213
FJ_RSO_1032,59.674374800000002,10.680369600000001,185
FJ_RSO_1033,59.4137457,10.696055899999999,76
