SADEA_ID,SADEA_Geojson
FJ_Sone 1 10 km,"{""type"":""Polygon"",""coordinates"":[[[11.438099528962793,59.558632247627855],[11.432875280609936,59.55850210930677],[11.427701464759028,59.55811295064759],[11.422628023589612,59.55746852834808],[11.417703923537504,59.55657506297785],[11.412976679621611,59.55544117851468],[11.408491894258196,59.55407781854242],[11.404292815142647,59.55249813994664],[11.400419916569923,59.550717385167154],[11.39691050830954,59.54875273427752],[11.39379837585275,59.546623138360175],[11.391113455512743,59.54434913582642],[11.388881547487722,59.54195265349587],[11.387124069596672,59.5394567943941],[11.38585785397348,59.53688561435193],[11.38509498856263,59.534263889592594],[11.384842704803594,59.53161687757351],[11.385103312427423,59.528970073406704],[11.385874181822313,59.526348964216574],[11.387147773960763,59.52377878380462],[11.388911717423342,59.52128426997898],[11.391148931608011,59.51888942687231],[11.393837794782915,59.516617294515925],[11.396952355228509,59.51448972785961],[11.400462583324767,59.51252718733139],[11.404334662073909,59.51074854291372],[11.408531313211075,59.50917089358012],[11.41301215574656,59.507809403786915],[11.417734093505247,59.506677158549635],[11.422651727983384,59.505785038457525],[11.42771779263058,59.50514161578993],[11.432883604487023,59.5047530727011],[11.438099528962793,59.5046231422327],[11.443315453438567,59.5047530727011],[11.448481265295008,59.50514161578993],[11.453547329942204,59.505785038457525],[11.45846496442034,59.506677158549635],[11.463186902179029,59.507809403786915],[11.467667744714515,59.50917089358012],[11.471864395851682,59.51074854291372],[11.47573647460082,59.51252718733139],[11.47924670269708,59.51448972785961],[11.482361263142675,59.516617294515925],[11.485050126317578,59.51888942687231],[11.487287340502245,59.52128426997898],[11.489051283964827,59.52377878380462],[11.490324876103275,59.526348964216574],[11.491095745498166,59.528970073406704],[11.491356353121992,59.53161687757351],[11.49110406936296,59.534263889592594],[11.490341203952108,59.53688561435193],[11.489074988328918,59.5394567943941],[11.487317510437867,59.54195265349587],[11.485085602412848,59.54434913582642],[11.48240068207284,59.546623138360175],[11.479288549616049,59.54875273427752],[11.475779141355666,59.550717385167154],[11.471906242782945,59.55249813994664],[11.467707163667392,59.55407781854242],[11.463222378303977,59.55544117851468],[11.458495134388086,59.55657506297785],[11.453571034335976,59.55746852834808],[11.44849759316656,59.55811295064759],[11.443323777315653,59.55850210930677],[11.438099528962793,59.558632247627855]]]}"
FJ_Sone 1 3 km,"{""type"":""Polygon"",""coordinates"":[[[11.438092593568769,59.621565561850936],[11.420658652600103,59.62113127260814],[11.403393950059186,59.6198326208252],[11.386466042527331,59.617682212434865],[11.370039141130613,59.614700918101356],[11.354272484148536,59.61091766597001],[11.339318763310404,59.60636915466468],[11.32532262049989,59.60109948962705],[11.312419230615577,59.59515974670164],[11.30073298516104,59.58860746762525],[11.290376289788421,59.581506092773296],[11.281448487522542,59.57392433713493],[11.274034917779664,59.56593551603413],[11.268206119597412,59.557616827573675],[11.264017185742157,59.54904859915443],[11.261507272588107,59.54031350570936],[11.26069926889768,59.53149576749041],[11.261599624902171,59.522680335358984],[11.264198341408765,59.513952071557675],[11.268469117065004,59.505394933887004],[11.27436965041095,59.49709117108058],[11.281842091955253,59.48912053696879],[11.290813640232843,59.48155953075272],[11.301197274643984,59.47448067037952],[11.312892616838711,59.467951805627614],[11.32578691149614,59.462035477075744],[11.339756116551046,59.456788326656756],[11.354666092234686,59.45226056498299],[11.370373877716354,59.44849550008753],[11.386729043648364,59.445529131654915],[11.403575108522013,59.443389814222435],[11.420751006427473,59.44209799222309],[11.438092593568769,59.44166600911695],[11.455434180710062,59.44209799222309],[11.472610078615523,59.443389814222435],[11.489456143489173,59.445529131654915],[11.505811309421182,59.44849550008753],[11.52151909490285,59.45226056498299],[11.53642907058649,59.456788326656756],[11.550398275641395,59.462035477075744],[11.563292570298826,59.467951805627614],[11.57498791249355,59.47448067037952],[11.585371546904694,59.48155953075272],[11.594343095182284,59.48912053696879],[11.601815536726585,59.49709117108058],[11.60771607007253,59.505394933887004],[11.611986845728772,59.513952071557675],[11.614585562235366,59.522680335358984],[11.615485918239855,59.53149576749041],[11.61467791454943,59.54031350570936],[11.61216800139538,59.54904859915443],[11.607979067540125,59.557616827573675],[11.602150269357873,59.56593551603413],[11.594736699614995,59.57392433713493],[11.585808897349116,59.581506092773296],[11.575452201976496,59.58860746762525],[11.56376595652196,59.59515974670164],[11.550862566637646,59.60109948962705],[11.536866423827133,59.60636915466468],[11.521912702989,59.61091766597001],[11.506146046006924,59.614700918101356],[11.489719144610204,59.617682212434865],[11.47279123707835,59.6198326208252],[11.455526534537434,59.62113127260814],[11.438092593568769,59.621565561850936]],[[11.438099528962793,59.558632247627855],[11.432875280609936,59.55850210930677],[11.427701464759028,59.55811295064759],[11.422628023589612,59.55746852834808],[11.417703923537504,59.55657506297785],[11.412976679621611,59.55544117851468],[11.408491894258196,59.55407781854242],[11.404292815142647,59.55249813994664],[11.400419916569923,59.550717385167154],[11.39691050830954,59.54875273427752],[11.39379837585275,59.546623138360175],[11.391113455512743,59.54434913582642],[11.388881547487722,59.54195265349587],[11.387124069596672,59.5394567943941],[11.38585785397348,59.53688561435193],[11.38509498856263,59.534263889592594],[11.384842704803594,59.53161687757351],[11.385103312427423,59.528970073406704],[11.385874181822313,59.526348964216574],[11.387147773960763,59.52377878380462],[11.388911717423342,59.52128426997898],[11.391148931608011,59.51888942687231],[11.393837794782915,59.516617294515925],[11.396952355228509,59.51448972785961],[11.400462583324767,59.51252718733139],[11.404334662073909,59.51074854291372],[11.408531313211075,59.50917089358012],[11.41301215574656,59.507809403786915],[11.417734093505247,59.506677158549635],[11.422651727983384,59.505785038457525],[11.42771779263058,59.50514161578993],[11.432883604487023,59.5047530727011],[11.438099528962793,59.5046231422327],[11.443315453438567,59.5047530727011],[11.448481265295008,59.50514161578993],[11.453547329942204,59.505785038457525],[11.45846496442034,59.506677158549635],[11.463186902179029,59.507809403786915],[11.467667744714515,59.50917089358012],[11.471864395851682,59.51074854291372],[11.47573647460082,59.51252718733139],[11.47924670269708,59.51448972785961],[11.482361263142675,59.516617294515925],[11.485050126317578,59.51888942687231],[11.487287340502245,59.52128426997898],[11.489051283964827,59.52377878380462],[11.490324876103275,59.526348964216574],[11.491095745498166,59.528970073406704],[11.491356353121992,59.53161687757351],[11.49110406936296,59.534263889592594],[11.490341203952108,59.53688561435193],[11.489074988328918,59.5394567943941],[11.487317510437867,59.54195265349587],[11.485085602412848,59.54434913582642],[11.48240068207284,59.546623138360175],[11.479288549616049,59.54875273427752],[11.475779141355666,59.550717385167154],[11.471906242782945,59.55249813994664],[11.467707163667392,59.55407781854242],[11.463222378303977,59.55544117851468],[11.458495134388086,59.55657506297785],[11.453571034335976,59.55746852834808],[11.44849759316656,59.55811295064759],[11.443323777315653,59.55850210930677],[11.438099528962793,59.558632247627855]]]}"

